Coin,Block Reward,Difficulty,Price
kaspa,82.40688922,1.3029787335375718e+18,0.11246806124466013
bitcoin,3.125,95672703408224.0,69518.00662500276
alephium,0.47602317,2.4675257814142736e+16,1.2117291815106457
