Coin,Block Reward,Difficulty,Price
kaspa,73.41619197,1.4342288258706496e+18,0.12150156775181543
bitcoin,3.125,108522647629300.0,97986.31083297601
alephium,0.45688656,2.8015322371916224e+16,1.5307106892149664
litecoin,6.25,59401111.0,110.17112414492868
ethereum-classic,2.048,3535893423990364.0,28.193293876310605
